"Date","Price","Open","High","Low","Change %"
"Nov 13, 2020","6.5924","6.6163","6.6277","6.5909","-0.37%"
"Nov 12, 2020","6.6167","6.6153","6.6347","6.6005","0.01%"
"Nov 11, 2020","6.6163","6.5971","6.6290","6.5804","0.27%"
"Nov 10, 2020","6.5983","6.6139","6.6279","6.5853","-0.25%"
"Nov 09, 2020","6.6150","6.5865","6.6491","6.5461","0.36%"
"Nov 06, 2020","6.5913","6.6098","6.6288","6.5841","-0.28%"
"Nov 05, 2020","6.6101","6.6198","6.6639","6.5994","-0.15%"
"Nov 04, 2020","6.6201","6.6802","6.7741","6.6185","-0.88%"
"Nov 03, 2020","6.6791","6.6873","6.6958","6.6704","-0.13%"
"Nov 02, 2020","6.6875","6.6933","6.7040","6.6824","-0.10%"
"Oct 30, 2020","6.6943","6.7067","6.7109","6.6753","-0.21%"
"Oct 29, 2020","6.7081","6.7275","6.7296","6.6992","-0.29%"
"Oct 28, 2020","6.7276","6.7140","6.7377","6.7035","0.21%"
"Oct 27, 2020","6.7135","6.7000","6.7232","6.6861","0.20%"
"Oct 26, 2020","6.7000","6.6645","6.7174","6.6586","0.51%"
"Oct 23, 2020","6.6657","6.6690","6.6838","6.6487","-0.05%"
"Oct 22, 2020","6.6688","6.6431","6.6773","6.6382","0.39%"
"Oct 21, 2020","6.6429","6.6630","6.6636","6.6268","-0.30%"
"Oct 20, 2020","6.6630","6.6777","6.6839","6.6551","-0.23%"
"Oct 19, 2020","6.6785","6.6948","6.7000","6.6685","-0.25%"
"Oct 16, 2020","6.6952","6.7120","6.7197","6.6855","-0.24%"
"Oct 15, 2020","6.7115","6.7098","6.7324","6.7009","0.02%"
"Oct 14, 2020","6.7099","6.7347","6.7439","6.7025","-0.36%"
"Oct 13, 2020","6.7343","6.7428","6.7655","6.7282","-0.13%"
"Oct 12, 2020","6.7428","6.7031","6.7564","6.6861","0.82%"
"Oct 09, 2020","6.6881","6.7375","6.7417","6.6778","-0.73%"
"Oct 08, 2020","6.7373","6.7331","6.7479","6.7232","0.05%"
"Oct 07, 2020","6.7337","6.7473","6.7545","6.7251","-0.19%"
"Oct 06, 2020","6.7465","6.7182","6.7485","6.7150","0.41%"
"Oct 05, 2020","6.7187","6.7499","6.7564","6.7126","-0.47%"
"Oct 02, 2020","6.7505","6.7483","6.7776","6.7426","0.04%"
"Oct 01, 2020","6.7478","6.7836","6.7902","6.7297","-0.52%"
"Sep 30, 2020","6.7833","6.8159","6.8246","6.7797","-0.48%"
"Sep 29, 2020","6.8160","6.8114","6.8301","6.8108","0.06%"
"Sep 28, 2020","6.8122","6.8236","6.8349","6.8091","-0.13%"
"Sep 25, 2020","6.8208","6.8254","6.8446","6.8073","-0.08%"
"Sep 24, 2020","6.8261","6.8248","6.8461","6.8127","0.03%"
"Sep 23, 2020","6.8240","6.7832","6.8287","6.7773","0.65%"
"Sep 22, 2020","6.7797","6.7926","6.8008","6.7706","-0.18%"
"Sep 21, 2020","6.7921","6.7772","6.8079","6.7519","0.22%"
"Sep 18, 2020","6.7774","6.7529","6.7796","6.7437","0.36%"
"Sep 17, 2020","6.7531","6.7447","6.7825","6.7415","0.13%"
"Sep 16, 2020","6.7444","6.7796","6.7863","6.7414","-0.52%"
"Sep 15, 2020","6.7799","6.8079","6.8107","6.7649","-0.41%"
"Sep 14, 2020","6.8078","6.8332","6.8352","6.8030","-0.37%"
"Sep 11, 2020","6.8330","6.8452","6.8452","6.8301","-0.17%"
"Sep 10, 2020","6.8443","6.8310","6.8455","6.8233","0.20%"
"Sep 09, 2020","6.8305","6.8531","6.8608","6.8292","-0.34%"
"Sep 08, 2020","6.8536","6.8317","6.8561","6.8262","0.32%"
"Sep 07, 2020","6.8317","6.8348","6.8397","6.8269","-0.06%"
"Sep 04, 2020","6.8356","6.8455","6.8497","6.8337","-0.14%"
"Sep 03, 2020","6.8451","6.8331","6.8497","6.8232","0.19%"
"Sep 02, 2020","6.8319","6.8362","6.8387","6.8211","-0.07%"
"Sep 01, 2020","6.8366","6.8467","6.8507","6.8124","-0.16%"
"Aug 31, 2020","6.8477","6.8574","6.8617","6.8415","-0.14%"
"Aug 28, 2020","6.8574","6.8879","6.8891","6.8556","-0.45%"
"Aug 27, 2020","6.8885","6.8797","6.8936","6.8666","0.13%"
"Aug 26, 2020","6.8796","6.9032","6.9056","6.8786","-0.34%"
"Aug 25, 2020","6.9032","6.9103","6.9136","6.8982","-0.09%"
"Aug 24, 2020","6.9094","6.9192","6.9209","6.9018","-0.14%"
"Aug 21, 2020","6.9192","6.9065","6.9255","6.8926","0.19%"
"Aug 20, 2020","6.9061","6.9194","6.9262","6.9038","-0.21%"
"Aug 19, 2020","6.9204","6.9061","6.9248","6.8967","0.22%"
"Aug 18, 2020","6.9055","6.9331","6.9338","6.9043","-0.38%"
"Aug 17, 2020","6.9321","6.9391","6.9448","6.9295","-0.11%"
"Aug 14, 2020","6.9399","6.9475","6.9530","6.9377","-0.09%"
"Aug 13, 2020","6.9459","6.9323","6.9535","6.9266","0.20%"
"Aug 12, 2020","6.9323","6.9409","6.9547","6.9304","-0.10%"
"Aug 11, 2020","6.9394","6.9614","6.9664","6.9355","-0.30%"
"Aug 10, 2020","6.9605","6.9655","6.9743","6.9565","-0.08%"
"Aug 07, 2020","6.9660","6.9422","6.9762","6.9409","0.34%"
"Aug 06, 2020","6.9425","6.9425","6.9532","6.9318","0.01%"
"Aug 05, 2020","6.9421","6.9743","6.9767","6.9310","-0.46%"
"Aug 04, 2020","6.9741","6.9821","6.9897","6.9726","-0.12%"
"Aug 03, 2020","6.9824","6.9887","6.9938","6.9743","-0.09%"
"Jul 31, 2020","6.9888","7.0011","7.0040","6.9738","-0.20%"
"Jul 30, 2020","7.0028","6.9966","7.0170","6.9906","0.04%"
"Jul 29, 2020","7.0002","7.0035","7.0097","6.9938","-0.08%"
"Jul 28, 2020","7.0057","6.9996","7.0118","6.9853","0.09%"
"Jul 27, 2020","6.9994","7.0144","7.0189","6.9955","-0.26%"
"Jul 24, 2020","7.0174","7.0115","7.0300","7.0020","0.07%"
"Jul 23, 2020","7.0127","7.0173","7.0173","6.9916","-0.07%"
"Jul 22, 2020","7.0176","6.9711","7.0181","6.9631","0.65%"
"Jul 21, 2020","6.9721","6.9866","6.9947","6.9681","-0.22%"
"Jul 20, 2020","6.9875","6.9899","6.9997","6.9817","-0.04%"
"Jul 17, 2020","6.9904","6.9918","7.0031","6.9878","-0.06%"
"Jul 16, 2020","6.9943","6.9820","7.0027","6.9794","0.18%"
"Jul 15, 2020","6.9820","7.0096","7.0112","6.9793","-0.41%"
"Jul 14, 2020","7.0104","7.0035","7.0255","6.9969","0.09%"
"Jul 13, 2020","7.0040","7.0089","7.0136","6.9929","-0.09%"
"Jul 10, 2020","7.0107","6.9973","7.0170","6.9928","0.19%"
"Jul 09, 2020","6.9977","6.9968","7.0008","6.9798","-0.01%"
"Jul 08, 2020","6.9986","7.0224","7.0295","6.9968","-0.36%"
"Jul 07, 2020","7.0238","7.0125","7.0273","6.9956","0.16%"
"Jul 06, 2020","7.0127","7.0660","7.0688","7.0091","-0.79%"
"Jul 03, 2020","7.0684","7.0663","7.0713","7.0612","0.01%"
"Jul 02, 2020","7.0679","7.0654","7.0751","7.0613","0.03%"
"Jul 01, 2020","7.0661","7.0684","7.0764","7.0574","-0.04%"
"Jun 30, 2020","7.0686","7.0753","7.0816","7.0615","-0.11%"
"Jun 29, 2020","7.0763","7.0842","7.0869","7.0675","-0.14%"
"Jun 26, 2020","7.0859","7.0807","7.0902","7.0744","0.04%"
"Jun 25, 2020","7.0833","7.0781","7.0893","7.0741","0.05%"
"Jun 24, 2020","7.0798","7.0612","7.0836","7.0446","0.25%"
"Jun 23, 2020","7.0618","7.0573","7.0877","7.0499","0.06%"
"Jun 22, 2020","7.0578","7.0766","7.0815","7.0547","-0.28%"
"Jun 19, 2020","7.0778","7.0799","7.0841","7.0628","-0.05%"
"Jun 18, 2020","7.0812","7.0750","7.0877","7.0607","0.07%"
"Jun 17, 2020","7.0761","7.0803","7.0909","7.0682","-0.08%"
"Jun 16, 2020","7.0820","7.0715","7.0903","7.0591","0.14%"
"Jun 15, 2020","7.0723","7.0744","7.0972","7.0675","-0.06%"
"Jun 12, 2020","7.0767","7.0796","7.0879","7.0659","-0.07%"
"Jun 11, 2020","7.0815","7.0522","7.0838","7.0459","0.40%"
"Jun 10, 2020","7.0536","7.0755","7.0830","7.0390","-0.33%"
"Jun 09, 2020","7.0770","7.0548","7.0917","7.0539","0.30%"
"Jun 08, 2020","7.0558","7.0693","7.0872","7.0534","-0.20%"
"Jun 05, 2020","7.0696","7.1066","7.1175","7.0652","-0.55%"
"Jun 04, 2020","7.1085","7.1149","7.1336","7.1024","-0.11%"
"Jun 03, 2020","7.1162","7.1058","7.1272","7.0870","0.15%"
"Jun 02, 2020","7.1057","7.1258","7.1334","7.1007","-0.28%"
"Jun 01, 2020","7.1260","7.1324","7.1516","7.1221","-0.11%"
"May 29, 2020","7.1340","7.1702","7.1766","7.1304","-0.50%"
"May 28, 2020","7.1698","7.1747","7.1875","7.1528","-0.09%"
"May 27, 2020","7.1764","7.1438","7.1963","7.1413","0.43%"
"May 26, 2020","7.1457","7.1477","7.1513","7.1343","-0.04%"
"May 25, 2020","7.1484","7.1486","7.1585","7.1440","-0.01%"
"May 22, 2020","7.1488","7.1317","7.1645","7.1255","0.22%"
"May 21, 2020","7.1331","7.1060","7.1362","7.0992","0.38%"
"May 20, 2020","7.1060","7.1170","7.1247","7.0975","-0.18%"
"May 19, 2020","7.1189","7.1183","7.1268","7.1080","0.00%"
"May 18, 2020","7.1188","7.1320","7.1446","7.1154","-0.21%"
"May 15, 2020","7.1338","7.1085","7.1352","7.1062","0.34%"
"May 14, 2020","7.1097","7.1103","7.1295","7.1056","-0.03%"
"May 13, 2020","7.1115","7.1064","7.1146","7.0938","0.06%"
"May 12, 2020","7.1070","7.1065","7.1137","7.0874","0.01%"
"May 11, 2020","7.1066","7.0924","7.1115","7.0831","0.18%"
"May 08, 2020","7.0940","7.0914","7.0970","7.0800","0.02%"
"May 07, 2020","7.0925","7.1282","7.1370","7.0899","-0.51%"
"May 06, 2020","7.1285","7.1205","7.1318","7.0989","0.09%"
"May 05, 2020","7.1220","7.1297","7.1321","7.1100","-0.12%"
"May 04, 2020","7.1304","7.1357","7.1555","7.1213","-0.10%"
"May 01, 2020","7.1372","7.0794","7.1400","7.0750","0.80%"
"Apr 30, 2020","7.0808","7.0717","7.0886","7.0516","0.09%"
"Apr 29, 2020","7.0743","7.0875","7.0886","7.0701","-0.19%"
"Apr 28, 2020","7.0879","7.0903","7.0982","7.0750","-0.07%"
"Apr 27, 2020","7.0927","7.0891","7.0951","7.0767","0.03%"
"Apr 24, 2020","7.0906","7.0932","7.0980","7.0824","-0.06%"
"Apr 23, 2020","7.0947","7.0996","7.1030","7.0776","-0.08%"
"Apr 22, 2020","7.1005","7.1022","7.1056","7.0888","-0.03%"
"Apr 21, 2020","7.1029","7.0907","7.1092","7.0818","0.17%"
"Apr 20, 2020","7.0911","7.0769","7.0931","7.0732","0.19%"
"Apr 17, 2020","7.0781","7.0875","7.0886","7.0674","-0.14%"
"Apr 16, 2020","7.0882","7.0691","7.0924","7.0680","0.24%"
"Apr 15, 2020","7.0714","7.0456","7.0782","7.0407","0.34%"
"Apr 14, 2020","7.0472","7.0532","7.0671","7.0419","-0.10%"
"Apr 13, 2020","7.0542","7.0438","7.0614","7.0423","0.13%"
"Apr 10, 2020","7.0449","7.0583","7.0617","7.0348","-0.20%"
"Apr 09, 2020","7.0592","7.0677","7.0834","7.0450","-0.13%"
"Apr 08, 2020","7.0685","7.0647","7.0825","7.0594","0.02%"
"Apr 07, 2020","7.0671","7.1064","7.1091","7.0475","-0.56%"
"Apr 06, 2020","7.1071","7.1093","7.1191","7.0968","-0.05%"
"Apr 03, 2020","7.1108","7.0919","7.1197","7.0857","0.25%"
"Apr 02, 2020","7.0929","7.1216","7.1422","7.0846","-0.42%"
"Apr 01, 2020","7.1230","7.0932","7.1336","7.0772","0.41%"
"Mar 31, 2020","7.0940","7.1133","7.1177","7.0796","-0.29%"
"Mar 30, 2020","7.1147","7.0865","7.1221","7.0854","0.36%"
"Mar 27, 2020","7.0890","7.0804","7.1176","7.0643","0.11%"
"Mar 26, 2020","7.0814","7.1252","7.1394","7.0735","-0.63%"
"Mar 25, 2020","7.1264","7.0824","7.1422","7.0568","0.61%"
"Mar 24, 2020","7.0832","7.1206","7.1247","7.0676","-0.53%"
"Mar 23, 2020","7.1212","7.1274","7.1514","7.0886","-0.10%"
"Mar 20, 2020","7.1281","7.1553","7.1625","7.0662","-0.41%"
"Mar 19, 2020","7.1575","7.0730","7.1650","7.0583","1.17%"
"Mar 18, 2020","7.0748","7.0306","7.0915","7.0162","0.62%"
"Mar 17, 2020","7.0310","7.0135","7.0456","6.9948","0.25%"
"Mar 16, 2020","7.0134","7.0225","7.0324","6.9850","-0.12%"
"Mar 13, 2020","7.0219","7.0269","7.0535","6.9902","-0.09%"
"Mar 12, 2020","7.0281","6.9698","7.0434","6.9664","0.85%"
"Mar 11, 2020","6.9690","6.9639","6.9707","6.9481","0.07%"
"Mar 10, 2020","6.9641","6.9531","6.9691","6.9328","0.16%"
"Mar 09, 2020","6.9528","6.9286","6.9606","6.9055","0.36%"
"Mar 06, 2020","6.9281","6.9415","6.9639","6.9254","-0.19%"
"Mar 05, 2020","6.9413","6.9233","6.9467","6.9210","0.26%"
"Mar 04, 2020","6.9230","6.9497","6.9531","6.9178","-0.39%"
"Mar 03, 2020","6.9498","6.9616","6.9883","6.9378","-0.19%"
"Mar 02, 2020","6.9627","6.9931","6.9952","6.9544","-0.22%"
"Feb 28, 2020","6.9784","7.0113","7.0229","6.9772","-0.45%"
"Feb 27, 2020","7.0101","7.0220","7.0308","6.9986","-0.17%"
"Feb 26, 2020","7.0218","7.0282","7.0386","7.0193","-0.10%"
"Feb 25, 2020","7.0286","7.0353","7.0373","7.0134","-0.11%"
"Feb 24, 2020","7.0361","7.0360","7.0572","7.0277","0.00%"
"Feb 21, 2020","7.0359","7.0453","7.0579","7.0342","-0.14%"
"Feb 20, 2020","7.0460","7.0136","7.0557","7.0078","0.47%"
"Feb 19, 2020","7.0131","7.0054","7.0181","6.9936","0.08%"
"Feb 18, 2020","7.0074","6.9858","7.0131","6.9841","0.32%"
"Feb 17, 2020","6.9851","6.9934","6.9935","6.9738","-0.12%"
"Feb 14, 2020","6.9934","6.9891","6.9974","6.9810","0.06%"
"Feb 13, 2020","6.9893","6.9737","6.9923","6.9715","0.22%"
"Feb 12, 2020","6.9741","6.9710","6.9781","6.9579","0.05%"
"Feb 11, 2020","6.9707","6.9851","6.9863","6.9629","-0.20%"
"Feb 10, 2020","6.9845","7.0075","7.0135","6.9779","-0.31%"
"Feb 07, 2020","7.0064","6.9784","7.0106","6.9729","0.40%"
"Feb 06, 2020","6.9784","6.9745","6.9812","6.9573","0.04%"
"Feb 05, 2020","6.9754","6.9899","7.0116","6.9638","-0.24%"
"Feb 04, 2020","6.9921","7.0148","7.0249","6.9876","-0.31%"
"Feb 03, 2020","7.0140","7.0018","7.0241","6.9849","0.17%"
"Jan 31, 2020","7.0019","6.9823","7.0082","6.9724","0.27%"
"Jan 30, 2020","6.9830","6.9698","7.0046","6.9673","0.19%"
"Jan 29, 2020","6.9700","6.9666","6.9711","6.9535","0.06%"
"Jan 28, 2020","6.9658","6.9856","6.9892","6.9649","-0.29%"
"Jan 27, 2020","6.9861","6.9416","6.9915","6.9396","0.82%"
"Jan 24, 2020","6.9290","6.9294","6.9401","6.9211","0.00%"
"Jan 23, 2020","6.9288","6.9102","6.9429","6.9063","0.28%"
"Jan 22, 2020","6.9093","6.9090","6.9185","6.8953","-0.00%"
"Jan 21, 2020","6.9094","6.8662","6.9127","6.8632","0.61%"
"Jan 20, 2020","6.8673","6.8628","6.8749","6.8459","0.01%"
"Jan 17, 2020","6.8665","6.8761","6.8828","6.8577","-0.14%"
"Jan 16, 2020","6.8763","6.8915","6.8960","6.8718","-0.22%"
"Jan 15, 2020","6.8913","6.8886","6.9062","6.8849","0.03%"
"Jan 14, 2020","6.8895","6.8817","6.8936","6.8668","0.10%"
"Jan 13, 2020","6.8823","6.9142","6.9174","6.8811","-0.46%"
"Jan 10, 2020","6.9138","6.9251","6.9351","6.9106","-0.16%"
"Jan 09, 2020","6.9250","6.9362","6.9390","6.9170","-0.17%"
"Jan 08, 2020","6.9366","6.9402","6.9656","6.9324","-0.08%"
"Jan 07, 2020","6.9425","6.9707","6.9711","6.9300","-0.40%"
"Jan 06, 2020","6.9701","6.9678","6.9790","6.9631","0.08%"
"Jan 03, 2020","6.9644","6.9581","6.9748","6.9566","0.08%"
"Jan 02, 2020","6.9588","6.9666","6.9736","6.9573","-0.10%"
"Jan 01, 2020","6.9655","6.9597","6.9664","6.9590","0.07%"
"Dec 31, 2019","6.9606","6.9848","6.9865","6.9591","-0.35%"
"Dec 30, 2019","6.9847","6.9908","6.9954","6.9760","-0.10%"
"Dec 27, 2019","6.9918","6.9922","7.0004","6.9912","0.00%"
"Dec 26, 2019","6.9915","6.9955","7.0014","6.9869","-0.06%"
"Dec 25, 2019","6.9954","7.0047","7.0080","6.9852","-0.11%"
"Dec 24, 2019","7.0028","7.0080","7.0146","7.0025","-0.08%"
"Dec 23, 2019","7.0081","7.0011","7.0140","6.9991","0.10%"
"Dec 20, 2019","7.0009","7.0005","7.0139","6.9964","0.03%"
"Dec 19, 2019","6.9991","7.0026","7.0076","6.9916","-0.05%"
"Dec 18, 2019","7.0028","7.0000","7.0095","6.9931","0.04%"
"Dec 17, 2019","6.9997","6.9925","7.0103","6.9897","0.12%"
"Dec 16, 2019","6.9915","7.0037","7.0089","6.9866","-0.17%"
"Dec 13, 2019","7.0034","6.9435","7.0261","6.9268","0.87%"
"Dec 12, 2019","6.9432","7.0281","7.0427","6.9226","-1.21%"
"Dec 11, 2019","7.0279","7.0280","7.0423","7.0267","-0.00%"
"Dec 10, 2019","7.0281","7.0381","7.0431","7.0267","-0.12%"
"Dec 09, 2019","7.0366","7.0235","7.0424","7.0190","0.18%"
"Dec 06, 2019","7.0241","7.0418","7.0520","7.0214","-0.24%"
"Dec 05, 2019","7.0413","7.0525","7.0590","7.0374","-0.16%"
"Dec 04, 2019","7.0526","7.0683","7.0817","7.0470","-0.22%"
"Dec 03, 2019","7.0685","7.0441","7.0883","7.0359","0.36%"
"Dec 02, 2019","7.0432","7.0314","7.0467","7.0261","0.17%"
"Nov 29, 2019","7.0310","7.0311","7.0386","7.0218","0.01%"
"Nov 28, 2019","7.0302","7.0156","7.0365","7.0134","0.20%"
"Nov 27, 2019","7.0162","7.0138","7.0289","7.0128","0.06%"
"Nov 26, 2019","7.0122","7.0302","7.0428","7.0094","-0.27%"
"Nov 25, 2019","7.0312","7.0441","7.0441","7.0286","-0.16%"
"Nov 22, 2019","7.0426","7.0302","7.0495","7.0267","0.14%"
"Nov 21, 2019","7.0327","7.0405","7.0559","7.0255","-0.10%"
"Nov 20, 2019","7.0395","7.0286","7.0514","7.0252","0.17%"
"Nov 19, 2019","7.0275","7.0256","7.0335","7.0205","0.02%"
"Nov 18, 2019","7.0258","7.0058","7.0335","7.0046","0.30%"
"Nov 15, 2019","7.0050","7.0180","7.0239","7.0012","-0.20%"
"Nov 14, 2019","7.0188","7.0305","7.0338","7.0180","-0.16%"
"Nov 13, 2019","7.0300","7.0248","7.0385","7.0137","0.08%"
"Nov 12, 2019","7.0242","7.0066","7.0251","6.9922","0.24%"
"Nov 11, 2019","7.0073","6.9911","7.0149","6.9882","0.28%"
"Nov 08, 2019","6.9877","6.9721","7.0055","6.9665","0.23%"
"Nov 07, 2019","6.9716","7.0115","7.0206","6.9524","-0.58%"
"Nov 06, 2019","7.0120","7.0019","7.0193","6.9874","0.13%"
"Nov 05, 2019","7.0027","7.0334","7.0365","6.9882","-0.43%"
"Nov 04, 2019","7.0329","7.0415","7.0430","7.0236","-0.13%"
"Nov 01, 2019","7.0420","7.0478","7.0539","7.0375","-0.06%"
"Oct 31, 2019","7.0460","7.0449","7.0555","7.0303","0.02%"
"Oct 30, 2019","7.0448","7.0659","7.0712","7.0440","-0.29%"
"Oct 29, 2019","7.0653","7.0636","7.0691","7.0532","0.02%"
"Oct 28, 2019","7.0641","7.0529","7.0678","7.0466","0.18%"
"Oct 25, 2019","7.0511","7.0721","7.0751","7.0491","-0.31%"
"Oct 24, 2019","7.0731","7.0617","7.0752","7.0531","0.17%"
"Oct 23, 2019","7.0611","7.0751","7.0864","7.0597","-0.22%"
"Oct 22, 2019","7.0767","7.0700","7.0839","7.0654","0.10%"
"Oct 21, 2019","7.0699","7.0718","7.0782","7.0627","-0.02%"
"Oct 18, 2019","7.0716","7.0811","7.0888","7.0695","-0.14%"
"Oct 17, 2019","7.0812","7.0986","7.1082","7.0670","-0.25%"
"Oct 16, 2019","7.0991","7.0826","7.1134","7.0819","0.22%"
"Oct 15, 2019","7.0837","7.0701","7.0909","7.0630","0.20%"
"Oct 14, 2019","7.0693","7.0869","7.0953","7.0503","-0.26%"
"Oct 11, 2019","7.0878","7.1032","7.1145","7.0706","-0.23%"
"Oct 10, 2019","7.1040","7.1390","7.1692","7.0998","-0.48%"
"Oct 09, 2019","7.1381","7.1645","7.1683","7.1254","-0.36%"
"Oct 08, 2019","7.1640","7.1344","7.1678","7.1188","0.42%"
"Oct 07, 2019","7.1343","7.1120","7.1401","7.1120","0.31%"
"Oct 04, 2019","7.1121","7.1278","7.1311","7.1068","-0.23%"
"Oct 03, 2019","7.1284","7.1461","7.1501","7.1251","-0.24%"
"Oct 02, 2019","7.1459","7.1463","7.1588","7.1424","-0.00%"
"Oct 01, 2019","7.1460","7.1403","7.1568","7.1341","0.06%"
"Sep 30, 2019","7.1415","7.1387","7.1523","7.1198","0.06%"
"Sep 27, 2019","7.1370","7.1242","7.1514","7.1135","0.18%"
"Sep 26, 2019","7.1241","7.1282","7.1355","7.1176","-0.05%"
"Sep 25, 2019","7.1280","7.1071","7.1364","7.1059","0.31%"
"Sep 24, 2019","7.1060","7.1101","7.1197","7.0986","-0.05%"
"Sep 23, 2019","7.1098","7.1208","7.1265","7.0976","-0.16%"
"Sep 20, 2019","7.1211","7.1026","7.1329","7.0769","0.26%"
"Sep 19, 2019","7.1029","7.0842","7.1082","7.0808","0.28%"
"Sep 18, 2019","7.0834","7.0862","7.0904","7.0721","-0.04%"
"Sep 17, 2019","7.0861","7.0625","7.0983","7.0617","0.34%"
"Sep 16, 2019","7.0618","7.0469","7.0705","7.0450","0.22%"
"Sep 13, 2019","7.0464","7.0686","7.0696","7.0313","-0.31%"
"Sep 12, 2019","7.0686","7.1094","7.1101","7.0526","-0.56%"
"Sep 11, 2019","7.1087","7.1104","7.1213","7.1041","-0.01%"
"Sep 10, 2019","7.1095","7.1169","7.1245","7.0980","-0.12%"
"Sep 09, 2019","7.1179","7.1072","7.1329","7.1057","0.17%"
"Sep 06, 2019","7.1057","7.1375","7.1516","7.0955","-0.45%"
"Sep 05, 2019","7.1378","7.1457","7.1506","7.1205","-0.13%"
"Sep 04, 2019","7.1471","7.1777","7.1787","7.1447","-0.43%"
"Sep 03, 2019","7.1780","7.1935","7.1979","7.1764","-0.20%"
"Sep 02, 2019","7.1925","7.1617","7.1967","7.1617","0.43%"
"Aug 30, 2019","7.1618","7.1430","7.1704","7.1402","0.25%"
"Aug 29, 2019","7.1437","7.1696","7.1790","7.1410","-0.37%"
"Aug 28, 2019","7.1700","7.1669","7.1771","7.1563","0.05%"
"Aug 27, 2019","7.1666","7.1681","7.1816","7.1510","-0.02%"
"Aug 26, 2019","7.1680","7.1348","7.1868","7.1348","0.46%"
"Aug 23, 2019","7.1351","7.0904","7.1403","7.0844","0.64%"
"Aug 22, 2019","7.0894","7.0674","7.1001","7.0662","0.31%"
"Aug 21, 2019","7.0673","7.0710","7.0744","7.0551","-0.05%"
"Aug 20, 2019","7.0709","7.0744","7.0771","7.0659","-0.06%"
"Aug 19, 2019","7.0748","7.0504","7.0775","7.0421","0.45%"
"Aug 16, 2019","7.0429","7.0488","7.0592","7.0426","-0.09%"
"Aug 15, 2019","7.0489","7.0529","7.0648","7.0293","-0.09%"
"Aug 14, 2019","7.0551","7.0114","7.0592","7.0114","0.62%"
"Aug 13, 2019","7.0113","7.1044","7.1090","6.9955","-1.29%"
"Aug 12, 2019","7.1026","7.0995","7.1129","7.0877","0.07%"
"Aug 09, 2019","7.0977","7.0781","7.1095","7.0716","0.29%"
"Aug 08, 2019","7.0773","7.0819","7.1037","7.0620","-0.10%"
"Aug 07, 2019","7.0841","7.0555","7.0998","7.0536","0.43%"
"Aug 06, 2019","7.0539","7.1000","7.1413","7.0421","-0.64%"
"Aug 05, 2019","7.0991","6.9768","7.1095","6.9741","1.76%"
"Aug 02, 2019","6.9764","6.9555","6.9812","6.9509","0.30%"
"Aug 01, 2019","6.9555","6.9101","6.9688","6.9029","0.67%"
"Jul 31, 2019","6.9094","6.8902","6.9168","6.8862","0.29%"
"Jul 30, 2019","6.8895","6.8933","6.8960","6.8834","-0.05%"
"Jul 29, 2019","6.8929","6.8838","6.9021","6.8792","0.16%"
"Jul 26, 2019","6.8821","6.8731","6.8849","6.8708","0.12%"
"Jul 25, 2019","6.8738","6.8780","6.8803","6.8694","-0.03%"
"Jul 24, 2019","6.8761","6.8849","6.8872","6.8713","-0.13%"
"Jul 23, 2019","6.8851","6.8854","6.8879","6.8805","0.01%"
"Jul 22, 2019","6.8842","6.8825","6.8844","6.8757","0.01%"
"Jul 19, 2019","6.8834","6.8741","6.8875","6.8720","0.14%"
"Jul 18, 2019","6.8740","6.8796","6.8886","6.8731","-0.05%"
"Jul 17, 2019","6.8773","6.8816","6.8850","6.8730","-0.06%"
"Jul 16, 2019","6.8816","6.8737","6.8837","6.8697","0.11%"
"Jul 15, 2019","6.8738","6.8791","6.8872","6.8710","-0.07%"
"Jul 12, 2019","6.8788","6.8760","6.8862","6.8717","0.03%"
"Jul 11, 2019","6.8767","6.8724","6.8783","6.8611","0.06%"
"Jul 10, 2019","6.8728","6.8953","6.8966","6.8700","-0.33%"
"Jul 09, 2019","6.8956","6.8876","6.8978","6.8826","0.12%"
"Jul 08, 2019","6.8873","6.8942","6.8995","6.8837","-0.11%"
"Jul 05, 2019","6.8948","6.8735","6.8998","6.8720","0.29%"
"Jul 04, 2019","6.8746","6.8845","6.8863","6.8709","-0.14%"
"Jul 03, 2019","6.8845","6.8885","6.9018","6.8816","-0.05%"
"Jul 02, 2019","6.8878","6.8580","6.8896","6.8509","0.44%"
"Jul 01, 2019","6.8578","6.8316","6.8659","6.8167","-0.16%"
"Jun 28, 2019","6.8686","6.8703","6.8796","6.8611","-0.04%"
"Jun 27, 2019","6.8712","6.8876","6.8887","6.8703","-0.24%"
"Jun 26, 2019","6.8880","6.8844","6.8921","6.8665","0.05%"
"Jun 25, 2019","6.8846","6.8770","6.8912","6.8625","0.12%"
"Jun 24, 2019","6.8765","6.8659","6.8876","6.8579","0.16%"
"Jun 21, 2019","6.8652","6.8639","6.8830","6.8393","0.06%"
"Jun 20, 2019","6.8612","6.8944","6.8978","6.8482","-0.49%"
"Jun 19, 2019","6.8953","6.9029","6.9120","6.8890","-0.11%"
"Jun 18, 2019","6.9026","6.9305","6.9406","6.8975","-0.41%"
"Jun 17, 2019","6.9310","6.9296","6.9356","6.9283","0.02%"
"Jun 14, 2019","6.9295","6.9287","6.9379","6.9277","0.01%"
"Jun 13, 2019","6.9288","6.9268","6.9362","6.9246","0.01%"
"Jun 12, 2019","6.9280","6.9253","6.9356","6.9173","0.03%"
